湖北,7153
浙江,599
广东,535
河南,422
湖南,389
安徽,297
江西,286
重庆,247
四川,207
山东,206
江苏,202
上海,169
北京,168
福建,144
陕西,101
广西,100
河北,96
云南,91
黑龙江,80
辽宁,63
海南,62
山西,47
天津,37
甘肃,35
贵州,29
宁夏,26
内蒙古,23
新疆,18
吉林,17
香港,13
台湾,10
青海,9
澳门,7
西藏,1
